napa | ওষুধ | নাপা (প্যারাসিটামল) | জ্বর ও ব্যথানাশক | ভরা পেটে ১-২টি ট্যাবলেট। ১.২০ টাকা পিস।
myolax | ওষুধ | মায়োল্যাক্স | পেশির খিঁচুনি ও ব্যথায় | রাতে ১টি ট্যাবলেট।
vergon | ওষুধ | ভারগন | মাথা ঘোরা ও কানের সমস্যায় | দিনে ২-৩ বার সেব্য।
savlon | ওষুধ | স্যাভলন | জীবাণুনাশক ও ক্ষত পরিষ্কারে | বাইরের ক্ষতে ব্যবহার্য।
c-vit | ওষুধ | সি-ভিট | ভিটামিন সি এর অভাব ও রোগ প্রতিরোধে | চিবিয়ে খাওয়ার ট্যাবলেট।
glonac | ওষুধ | গ্লোনাক | তীব্র ব্যথানাশক | ভরা পেটে সেবন করতে হয়।
bisolvon | ওষুধ | বাইসলভন | কফ পাতলা করে বের করতে | সিরাপ আকারে পাওয়া যায়।
anaryl | ওষুধ | অ্যানারিল | ঘুমের সমস্যা ও সর্দি কমাতে | রাতে ১টি ট্যাবলেট সেব্য।
atova | ওষুধ | অ্যাটোভা | কোলেস্টেরল কমাতে | রাতে খাবারের পর।
joytrip | ওষুধ | জয়ট্রিপ | ভ্রমণে বমি ভাব দূর করতে | যাত্রা শুরুর ৩০ মিনিট আগে।
cinkit | ওষুধ | সিঙ্কিট | শিশুদের রুচি ও পুষ্টি বৃদ্ধিতে | নিয়মিত ১০-১৫ দিন।
tofen | ওষুধ | টোফেন | শিশুদের কাশি ও হাঁপানিতে | প্রতিদিন রাতে ১টি।
calbo d | ওষুধ | ক্যালবো ডি | ক্যালসিয়াম ও ভিটামিন ডি এর জন্য | প্রতিদিন ১টি ভরা পেটে।
pulisin | ওষুধ | পুলিসিন | কাটাছেঁড়া ও ইনফেকশনে | আক্রান্ত স্থানে ব্যবহার্য মলম।
viodin | ওষুধ | ভায়োডিন | গলার ইনফেকশন ও মাড়ির ব্যথায় | গড়গড়া করার জন্য তরল।
revert | ওষুধ | রিভার্ট | বমি ভাব ও বদহজমে | খাবারের ২০ মিনিট আগে।
neuro-b | ওষুধ | নিউরো-বি | হাত-পা ঝিনঝিন ও ভিটামিনের অভাব | দৈনিক ১টি ট্যাবলেট।
solas | ওষুধ | সোলাস | কৃমির চিকিৎসায় | চিবিয়ে খাওয়ার ট্যাবলেট।
alacot | ওষুধ | অ্যালাকট | চোখের চুলকানি ও লাল ভাব | চোখে ১ ফোঁটা করে ৩ বার।
tusca | ওষুধ | টাসকা | শুকনো কাশি ও কফ দূর করতে | সিরাপ হিসেবে সেব্য।
gastab | ওষুধ | গ্যাসট্যাব | তাৎক্ষণিক গ্যাস্ট্রিকের সমস্যায় | চিবিয়ে খাওয়ার ট্যাবলেট।
verit | ওষুধ | ভেরিট | মাথা ঘোরানো ও বমি কমাতে | প্রতিদিন ১-২টি।
calcin | ওষুধ | ক্যালসিন | হাড়ের ক্ষয় ও ক্যালসিয়ামের অভাব | ভরা পেটে ১টি।
modina | ওষুধ | মোডিনা | কোষ্ঠকাঠিন্য দূর করতে | রাতে ইসবগুলের মতো সেব্য।
nystat | ওষুধ | নাইস্ট্যাট | মুখের ঘা ও ছত্রাক সংক্রমণে | ড্রপার দিয়ে আক্রান্ত স্থানে।
burnsil | ওষুধ | বার্নসিল | পোড়া ক্ষত শুকাতে | আক্রান্ত স্থানে ব্যবহারের ক্রিম।
atopa | ওষুধ | অ্যাটোপো | হার্টের রক্তনালী সচল রাখতে | চিকিৎসকের পরামর্শে রাতে।
naproxen | ওষুধ | নেপ্রোক্সেন | তীব্র ব্যথানাশক ও প্রদাহে | ভরা পেটে দিনে ২ বার।
peridon | ওষুধ | পেরিডন | খাবার হজম ও পেট ফাঁপায় | খাবারের ১৫ মিনিট আগে।
xylomet | ওষুধ | জাইলোমেট | সর্দিতে বন্ধ নাক খুলতে | নাকে ব্যবহার্য ড্রপ।
metformin | ওষুধ | মেটফরমিন | সুগার বা ডায়াবেটিস নিয়ন্ত্রণে | খাবারের সাথে সেব্য।
clonazepam | ওষুধ | ক্লোনাজেপাম | দুশ্চিন্তা ও ঘুমের সমস্যায় | নির্দিষ্ট মেয়াদে রাতে ১টি।
mupirocin | ওষুধ | মিউপিরোসিন | ত্বকের ঘা ও ইনফেকশনে | ব্যবহারের জন্য অ্যান্টিবায়োটিক মলম।
orasol | ওষুধ | ওরাসোল জেল | জিহ্বা বা গালের ভেতরের ঘায়ে | দিনে ৩-৪ বার লাগাতে হয়।
gastrolut | ওষুধ | গ্যাস্ট্রোলুট | পাকস্থলীর ক্ষত বা আলসারে | নিয়মিত সকালে ও রাতে।
ketotif | ওষুধ | কিটোটিফ | বাচ্চাদের কাশি ও অ্যালার্জিতে | সিরাপ হিসেবে সেব্য।
oralon | ওষুধ | ওরালন জেল | দাঁতের মাড়ি বা মুখের ঘায়ে | আক্রান্ত স্থানে লাগাতে হয়।
thorlax | ওষুধ | থোরল্যাক্স | পেশির টান ও তীব্র ব্যথায় | ভরা পেটে সেব্য।
emistat | ওষুধ | এমিস্ট্যাট | বমি ও বমি ভাব রোধে | খাবারের আগে ১টি।
flonida | ওষুধ | ফ্লোনিডা | দীর্ঘস্থায়ী চর্মরোগ বা একজিমা | আক্রান্ত স্থানে মলম হিসেবে।
azmasol | ওষুধ | এজমাসল | হাঁপানি ও শ্বাসকষ্টের ইনহেলার | প্রয়োজন অনুযায়ী মুখে স্প্রে।
zinc sulfate | ওষুধ | জিংক সালফেট | শরীরের রোগ প্রতিরোধ ক্ষমতা বৃদ্ধিতে | সিরাপ বা ট্যাবলেট আকারে।
clofenac | ওষুধ | ক্লোফেনাক | তীব্র কোমর বা ঘাড় ব্যথায় | ভরা পেটে দিনে ২ বার।
sucral | ওষুধ | সুক্রাল | পেটের আলসার ও এসিডিটিতে | খাওয়ার আগে ১ চামচ।
fenix | ওষুধ | ফিনিক্স | বুক জ্বালাপোড়া ও গ্যাস্ট্রিক | সকালে খালি পেটে।
dexamethason | ওষুধ | ডেক্সামেথাসন | তীব্র প্রদাহ ও অ্যালার্জিতে | চিকিৎসকের পরামর্শে জরুরি ভিত্তিতে।
neuro-plus | ওষুধ | নিউরো-প্লাস | স্মৃতিশক্তি ও স্নায়বিক দুর্বলতায় | প্রতিদিন ১টি।
osocal d | ওষুধ | ওসোক্যাল ডি | হাড়ের শক্তি বৃদ্ধিতে | ভরা পেটে প্রতিদিন ১টি।
asalt | ওষুধ | এসাল্ট | প্রস্রাবের জ্বালাপোড়া কমাতে | সিরাপ হিসেবে পানির সাথে।
provair | ওষুধ | প্রোভায়ার | অ্যাজমা ও কাশির সমস্যায় | প্রতিদিন রাতে ১টি।
neocasten | ওষুধ | নিওকাস্টেন | ফাঙ্গাল ইনফেকশন ও চুলকানিতে | চর্মরোগের ক্রিম।
betameson | ওষুধ | বেটামেসন | চর্মরোগ ও চুলকানি রোধে | পাতলা করে মালিশ করুন।
gentosep | ওষুধ | জেন্টোসেপ | কানের ও চোখের ইনফেকশনে | ১ ফোঁটা করে ২-৩ বার।
salbutamol | ওষুধ | সালবুটামল | শ্বাসকষ্ট ও কফ দূর করতে | নির্দিষ্ট মাত্রায় সেব্য।
folic acid | ওষুধ | ফলিক এসিড | রক্তস্বল্পতা ও গর্ভবতী মায়েদের জন্য | দৈনিক ১টি ট্যাবলেট।
calbo jr | ওষুধ | ক্যালবো জুনিয়র | শিশুদের হাড় ও দাঁতের গঠনের জন্য | সুস্বাদু চিবিয়ে খাওয়ার ট্যাবলেট।
povidon | ওষুধ | প্রভাইডন | জখম বা কাটা স্থান পরিষ্কারে | তরল অ্যান্টিসেপটিক।
fluclox | ওষুধ | ফ্লুক্লক্স | স্কিন ইনফেকশন ও ফোঁড়ায় | ৭ দিন নিয়মিত অ্যান্টিবায়োটিক।
histacin | ওষুধ | হিস্টাসিন | সর্দি, কাশি ও হাঁচি রোধে | রাতে ১টি ট্যাবলেট।
parapyrol | ওষুধ | প্যারাপাইরল | শিশুদের জ্বর ও শরীর ব্যথায় | ড্রপ বা সিরাপ আকারে।
viagra | ওষুধ | ভায়াগ্রা | চিকিৎসকের পরামর্শ ছাড়া নিষিদ্ধ | বিশেষ ক্ষেত্রে ব্যবহৃত।
orsaline | ওষুধ | ওআরস্যালাইন | পাতলা পায়খানা ও পানিশূন্যতায় | আধা লিটার পানিতে ১ প্যাকেট।
pantonix | ওষুধ | প্যান্টোনিক্স | গ্যাস্ট্রিক ও হাইপার এসিডিটি | সকালে খালি পেটে।
asofest | ওষুধ | এসোফেস্ট | তীব্র ব্যথানাশক | ভরা পেটে সেব্য।
diclophen | ওষুধ | ডিক্লোফেন | শরীরের জয়েন্টে ব্যথায় | মালিশ করার জেল।
vasocor | ওষুধ | ভাসোকর | উচ্চ রক্তচাপ ও হার্টের জন্য | প্রতিদিন ১টি নির্দিষ্ট সময়।
loratin | ওষুধ | লোরাটিন | অ্যালার্জি জনিত হাঁচি ও সর্দিতে | রাতে ১টি ট্যাবলেট।
atropin | ওষুধ | এট্রোপিন | চোখের পরীক্ষা ও বিশেষ চিকিৎসায় | বিশেষজ্ঞের পরামর্শে।
insulin | ওষুধ | ইনসুলিন | ডায়াবেটিস নিয়ন্ত্রণে ইনজেকশন | নির্দিষ্ট মাত্রায় চামড়ার নিচে।
mosep | ওষুধ | মোসেপ | পেট পরিষ্কার ও কোষ্ঠকাঠিন্যে | রাতে ১ চামচ পাউডার।
neurovit | ওষুধ | নিউরোভিট | নার্ভের সমস্যা ও ঝিনঝিন করা | প্রতিদিন ১-২ বার।
renitid | ওষুধ | রেনিটিড | অতিরিক্ত এসিডিটি ও আলসারে | খাওয়ার আগে বা পরে।
ciprocin | ওষুধ | সিপ্রোসিন | ইনফেকশন ও প্রস্রাবের সমস্যায় | কোর্স অনুযায়ী সেব্য।
fixit | ওষুধ | ফিক্সিট | তীব্র গ্যাস্ট্রিক ও আলসারে | খালি পেটে সেব্য।
provita | ওষুধ | প্রোভিটা | মাল্টিভিটামিন ও খনিজ ঘাটতিতে | প্রতিদিন ১টি ভরা পেটে।
normatens | ওষুধ | নরম্যাটেন্স | উচ্চ রক্তচাপ ও টেনশনে | রাতে ১টি।
ketorolac | ওষুধ | কিটোরোল্যাক | অস্ত্রোপচারের পরবর্তী তীব্র ব্যথায় | ভরা পেটে সেব্য।
femicon | ওষুধ | ফেমিকন (Oral Pill) | স্বল্প মাত্রার জন্মনিয়ন্ত্রণ পিল | পিরিয়ডের প্রথম দিন থেকে প্রতিদিন ১টি। ৩০-৩৫ টাকা।
maya | ওষুধ | মায়া (Oral Pill) | জন্মনিয়ন্ত্রণ পিল | প্রতিদিন নির্দিষ্ট সময়ে একটি করে সেব্য।
raja | কনডম | রাজা কনডম | পরিবার পরিকল্পনা ও সুরক্ষা | একবার ব্যবহার্য। প্যাকেটে ৩টি থাকে।
panther | কনডম | প্যান্থার কনডম | সুরক্ষা ও জন্মনিয়ন্ত্রণ | মানসম্মত ও নির্ভরযোগ্য সুরক্ষা।
sensual | কনডম | সেনসুয়াল কনডম | বিশেষ ফ্লেভার ও সুরক্ষা | প্রিমিয়াম কোয়ালিটি লুব্রিকেটেড।
u-pill | ওষুধ | ইউ-পিল (Emergency) | জরুরি জন্মনিয়ন্ত্রণ পিল | অরক্ষিত মিলনের ৭২ ঘণ্টার মধ্যে ১টি।
i-pill | ওষুধ | আই-পিল (Emergency) | ইমারজেন্সি কন্ট্রাসেপটিভ | মিলনের পর যত দ্রুত সম্ভব সেব্য।
postinor | ওষুধ | পস্টিনর (Levonorgestrel) | জরুরি গর্ভনিরোধক | মিলনের ১২-৭২ ঘণ্টার মধ্যে সেব্য। ৮০-১০০ টাকা।
minicon | ওষুধ | মিনিকন (Pill) | দুগ্ধদানকারী মায়েদের জন্মনিয়ন্ত্রণ | পিরিয়ড চলাকালীন নিয়ম অনুযায়ী।
clovate | ওষুধ | ক্লোভেট মলম | তীব্র চুলকানি ও একজিমা | পাতলা করে আক্রান্ত স্থানে দিনে ২ বার।
pevisone | ওষুধ | পেভিসন ক্রিম | ফাঙ্গাল ইনফেকশন ও খোসপাঁচড়া | আক্রান্ত স্থানে পরিষ্কার করে লাগাতে হয়।
viola | ওষুধ | ভায়োলা | মাসিকের অতিরিক্ত রক্তপাত বন্ধে | চিকিৎসকের পরামর্শে নির্দিষ্ট মেয়াদে।
femisens | ওষুধ | ফেমি সেন্স | ব্যক্তিগত পরিচ্ছন্নতা (V-Wash) | মেয়েদের ব্যক্তিগত হাইজিন বজায় রাখতে।
gaviscon | ওষুধ | গ্যাভিসকন | বুক জ্বালাপোড়া ও এসিড রিফ্লাক্স | খাওয়ার পর ২-৪ চামচ বা ট্যাবলেট।
pep-2 | ওষুধ | পেপ-২ | বদহজম ও গ্যাসের সমস্যায় | খাওয়ার পর চিবিয়ে খেতে হয়।
moxacil | ওষুধ | মক্সাসিল (Amoxicillin) | দাঁতের ব্যথা ও গলায় ইনফেকশন | কোর্স অনুযায়ী নির্দিষ্ট ডোজে সেব্য।
diclofenac | ওষুধ | ডিক্লোফেনাক জেল | হাড়ের জোড়া ও পেশির ব্যথায় | ব্যথার জায়গায় হালকা মালিশ।
moove | ওষুধ | মুভ জেল | কোমর ও পিঠের ব্যথায় | তাৎক্ষণিক আরামের জন্য মালিশ।
lodex | ওষুধ | লোডেক্স ক্রিম | মাসল পেইন বা মাংসপেশির টানে | ব্যথার স্থানে দিনে ৩-৪ বার।
voligel | ওষুধ | ভলিজেল | বাতের ব্যথা ও মচকানো ব্যথায় | হালকা করে মেখে রাখুন।
fast | ওষুধ | ফাস্ট (Paracetamol) | জ্বর ও সাধারণ মাথাব্যথায় | ১-২টি ট্যাবলেট ৩ বার।
xylomet | ওষুধ | জাইলোমেট ড্রপ | সর্দি ও বন্ধ নাক পরিষ্কারে | প্রতি নাকে ২ ফোঁটা করে ৩ বার।
antazol | ওষুধ | এন্টাজল ড্রপ | বড়দের ও ছোটদের নাক পরিষ্কারে | প্রয়োজন অনুযায়ী ২-৩ বার।
afun | ওষুধ | এফুন (Fluconazole) | নখের কোণ ও ত্বকের ছত্রাক | সপ্তাহে ১টি ট্যাবলেট নির্দিষ্ট মেয়াদে।
nystat | ওষুধ | নাইস্ট্যাট ড্রপ | জিহ্বার সাদা স্তর ও ঘায়ে | ড্রপার দিয়ে মুখে ব্যবহার্য।
burnol | ওষুধ | বার্নল ক্রিম | আগুনে পোড়া ক্ষত ও ফোস্কা | ক্ষত স্থানে প্রলেপ দিন।
dermoten | ওষুধ | ডার্মোটেন ক্রিম | দাউদ ও পুরনো চর্মরোগে | সকালে ও রাতে আক্রান্ত স্থানে।
betnovate | ওষুধ | বেটনোভেট মলম | দীর্ঘস্থায়ী চুলকানি ও অ্যালার্জি | পাতলা স্তরে দিনে ২ বার।
quadriderm | ওষুধ | কুয়াড্রিডার্ম | মিক্সড স্কিন ইনফেকশন | চিকিৎসকের পরামর্শে অল্প দিন ব্যবহার্য।
visine | ওষুধ | ভাইসিন ড্রপ | চোখ লাল হওয়া ও জ্বালাপোড়ায় | ১ ফোঁটা করে ৩ বার।
clear | ওষুধ | ক্লিয়ার ড্রপ | কান চুলকানি ও খৈল পরিষ্কারে | রাতে ৩ ফোঁটা কানে দিন।
paralyte | ওষুধ | প্যারালাইট | বাচ্চাদের জ্বর ও হালকা ব্যথায় | ড্রপ বা সিরাপ ওজন অনুযায়ী।
t-day | ওষুধ | টি-ডে | তীব্র অ্যালার্জি ও সর্দিতে | প্রতিদিন রাতে ১টি। ১০ টাকা পিস।
lorin | ওষুধ | লোরিন | নাক চুলকানি ও হাঁচি রোধে | প্রতিদিন ১টি ট্যাবলেট।
histal | ওষুধ | হিস্টাল (Chlorpheniramine) | পোকা কামড়ালে বা চুলকানিতে | রাতে ১টি ট্যাবলেট সেব্য।
calbo c | ওষুধ | ক্যালবো সি | হাড়ের পুষ্টি ও ভিটামিন সি | গ্লাসে গুলিয়ে খাওয়ার ট্যাবলেট।
rely | ওষুধ | রিলাই | মানসিক উদ্বেগ ও অনিদ্রায় | চিকিৎসকের পরামর্শ ছাড়া নিষিদ্ধ।
xanax | ওষুধ | জানাক্স (Alprazolam) | তীব্র দুশ্চিন্তা ও প্যানিক অ্যাটাক | অত্যন্ত নিয়ন্ত্রিত ওষুধ।
frisium | ওষুধ | ফ্রিজিয়াম | মৃগী ও স্নায়বিক টেনশনে | বিশেষজ্ঞের পরামর্শে সেব্য।
valium | ওষুধ | ভ্যালিয়াম | অপারেশনের আগে বা ঘুমের জন্য | ডাক্তারের প্রেসক্রিপশন আবশ্যক।
propranolol | ওষুধ | প্রোপ্রানোলল | হার্ট বিট স্বাভাবিক ও ভয়ের জন্য | প্রয়োজনে ১টি ট্যাবলেট।
metrol | ওষুধ | মেট্রোল (Metronidazole) | পাতলা পায়খানা ও আমাশয় | কোর্স অনুযায়ী ৫-৭ দিন।
flagyl | ওষুধ | ফ্লাজিল | পেটের গোলমাল ও ইনফেকশন | খাবারের পর ১টি করে ৩ বার।
filmet | ওষুধ | ফিলমেট | আমাশয় ও দীর্ঘস্থায়ী ডায়রিয়া | কোর্স পূর্ণ করতে হবে।
normatens | ওষুধ | নরম্যাটেন্স | হাই প্রেশার ও টেনশন কমাতে | প্রতিদিন ১টি নির্দিষ্ট সময়।
amlopine | ওষুধ | অ্যামলোপাইন | রক্তচাপ নিয়ন্ত্রণ ও হার্টের জন্য | প্রতিদিন ১ বার সেব্য।
atenolol | ওষুধ | অ্যাটেনোলল | উচ্চ রক্তচাপ ও বুক ধড়ফড়ানি | সকালে ১টি ট্যাবলেট।
lasix | ওষুধ | লাসিক্স (Furosemide) | শরীরে পানি আসা বা ফুসকুড়ি | প্রস্রাব বৃদ্ধি করে প্রেশার কমায়।
moduretic | ওষুধ | মডুরেটিক | উচ্চ রক্তচাপ ও ফোলা কমানোর জন্য | সকালে ১টি ট্যাবলেট।
diamicron | ওষুধ | ডায়ামাইক্রন | ডায়াবেটিস নিয়ন্ত্রণে | সকালের নাস্তার আগে।
daonil | ওষুধ | ডাওনিল | রক্তের সুগার নিয়ন্ত্রণ | নির্দিষ্ট ডোজে নিয়মিত।
amaryl | ওষুধ | অ্যামারিল | টাইপ-২ ডায়াবেটিস চিকিৎসায় | ডাক্তারের পরামর্শে নিয়মিত।
insulin mixtard | ইনসুলিন | ইনসুলিন মিক্সটার্ড | ডায়াবেটিস ইনজেকশন | পেটের বা হাতের চামড়ায় ইনজেকশন।
humulin | ইনসুলিন | হিউমুলিন | কৃত্রিম ইনসুলিন | খাওয়ার নির্দিষ্ট সময় আগে।
digoxin | ওষুধ | ডিগক্সিন | হার্ট ফেইলর ও হার্টের ছন্দে | ডাক্তারের কঠোর তত্ত্বাবধানে।
nitroglycerin | ওষুধ | নাইট্রোগ্লিসারিন | হার্টের ব্যথায় জিহ্বার নিচে | জরুরি বুকে ব্যথার জন্য।
angised | ওষুধ | এনজিসেড | তীব্র বুক ব্যথায় তাৎক্ষণিক | জিহ্বার নিচে রাখতে হয়।
aspirin | ওষুধ | এসপিরিন | হার্ট অ্যাটাক ঝুঁকি ও ব্যথায় | ভরা পেটে ১টি ট্যাবলেট।
ecosprin | ওষুধ | ইকোস্প্রিন | রক্ত পাতলা রাখার জন্য | প্রতিদিন ১টি ভরা পেটে।
clopidogrel | ওষুধ | ক্লোপিডোগ্রেল | স্ট্রোক প্রতিরোধে | হার্টের রোগীদের জন্য নিয়মিত।
atorva | ওষুধ | এটরভা | উচ্চ রক্তে চর্বি বা ফ্যাট কমাতে | রাতে ১টি ট্যাবলেট।
rosuva | ওষুধ | রোসুভা | ব্যাড কোলেস্টেরল নিয়ন্ত্রণে | রাতে শোয়ার আগে ১টি।
simvastatin | ওষুধ | সিমভাস্ট্যাটিন | হার্ট ও লিভারের সুরক্ষায় | নিয়মিত রাতে সেব্য।
gemfibrozil | ওষুধ | জেমফিব্রোজিল | ট্রাইগ্লিসারাইড কমাতে | প্রতিদিন ২ বার খাবারের আগে।
thyrox | ওষুধ | থাইরক্স | থাইরয়েড হরমোনের ঘাটতিতে | সকালে খালি পেটে ১টি।
eltroxin | ওষুধ | এল্ট্রক্সিন | হাইপো-থাইরয়েডিজম চিকিৎসায় | প্রতিদিন সকালে ১ বার।
carbimazole | ওষুধ | কারবিমাজল | অতিরিক্ত থাইরয়েড হরমোনে | চিকিৎসকের পরামর্শে নিয়মিত।
prednisolone | ওষুধ | প্রেডনিসোলন | তীব্র অ্যালার্জি ও শ্বাসকষ্টে | ভরা পেটে নির্দিষ্ট মাত্রায়।
dexa | ওষুধ | ডেক্সা | হরমোন ও প্রদাহজনিত চিকিৎসায় | নিয়ম অনুযায়ী সেবনীয়।
bet-a | ওষুধ | বেট-এ | স্কিন র্যাশ ও একজিমা | পাতলা করে লাগানোর মলম।
fluocinolone | ওষুধ | ফ্লুসিনোলোন | মাথার ত্বকের সোরিয়াসিস | শুধু বাহ্যিক ব্যবহারের ক্রিম।
permethrin | ওষুধ | পারমেথ্রিন | উকুন ও খোসপাঁচড়া দূর করতে | গোসলের আগে সারা শরীরে।
lindane | ওষুধ | লিনডেন লশন | খুশকি ও জীবাণুনাশক | চুলে বা শরীরে মাখতে হয়।
hand rub | স্যানিটাইজার | হ্যান্ড রাব | হাতের জীবাণু ধ্বংস করতে | প্রয়োজন অনুযায়ী স্প্রে।
hexisol | অ্যান্টিসেপটিক | হেক্সিসল | হাত ও জখম জীবাণুমুক্ত করতে | পরিষ্কার করার জন্য ব্যবহৃত।
dettol | অ্যান্টিসেপটিক | ডেটল | কাটাছেঁড়া ও গোসলের পানিতে | সংক্রমণ মুক্ত রাখতে ব্যবহৃত।
micoral | ওষুধ | মাইকোরাল জেল | মুখের ঘায়ের জন্য ক্রিম | ছোটদের ও বড়দের মুখে ব্যবহার্য।
gum-o-gel | ওষুধ | গাম-ও-জেল | মাড়ির ফোলা ও ব্যথায় | মাড়িতে মালিশ করার জেল।
pyodine | ওষুধ | পায়োডিন | গলা ব্যথা ও সংক্রমণের গড়গড়া | মাউথ ওয়াশ হিসেবে ব্যবহার্য।
oral saline n | স্যালাইন | ওআরএস এন | পানিশূন্যতা ও লবণ ঘাটতিতে | আধা লিটার পানিতে ১ প্যাকেট।
rice saline | স্যালাইন | রাইস স্যালাইন | ছোটদের পাতলা পায়খানায় | ভাতের চাল মিশ্রিত স্যালাইন।
electrosal | স্যালাইন | ইলেকট্রোসল | গরমে ক্লান্তি ও পানিশূন্যতায় | পানিতে মিশিয়ে পানের জন্য।
baby wipes | হাইজিন | বেবি ওয়াইপস | শিশুদের পরিচ্ছন্নতায় | নরম ও আর্দ্র টিস্যু।
napkin | হাইজিন | স্যানিটারি ন্যাপকিন | মেয়েদের মাসিকের সুরক্ষা | প্রতি ৬ ঘণ্টা পর বদলানো উচিত।
freedom | হাইজিন | ফ্রিডম ন্যাপকিন | আরামদায়ক ও নিরাপদ সুরক্ষা | বিভিন্ন সাইজে পাওয়া যায়।
senora | হাইজিন | সেনোরা ন্যাপকিন | বিশ্বস্ত পিরিয়ড সুরক্ষা | হাই শোষন ক্ষমতা সম্পন্ন।
monalisa | হাইজিন | মোনালিসা ন্যাপকিন | নিরাপদ ও নরম প্যাড | মেয়েদের মাসিক স্বাস্থ্য রক্ষায়।
whisper | হাইজিন | হুইসপার ন্যাপকিন | লম্বা সময় সুরক্ষায় | প্রিমিয়াম হাইজিন প্যাড।
joya | হাইজিন | জয়া ন্যাপকিন | সাশ্রয়ী ও কার্যকর সুরক্ষা | মাসিকের সময় ব্যবহারের জন্য।
pantyliner | হাইজিন | প্যান্টিলাইনার | প্রতিদিনের পরিচ্ছন্নতায় | স্বল্প রক্তপাতে বা হাইজিনে।
adult diaper | হাইজিন | এডাল্ট ডায়াপার | বয়স্কদের প্রস্রাব নিয়ন্ত্রণে | বিছানায় ব্যবহারের উপযোগী।
pampers | হাইজিন | প্যাম্পার্স | শিশুদের প্রস্রাব শোষণে | নরম ও ওজনে হালকা ডায়াপার।
huggies | হাইজিন | হাগিস ডায়াপার | বাচ্চার আরাম ও সুরক্ষায় | দীর্ঘ সময় শুকনো রাখে।
molfix | হাইজিন | মলফিক্স ডায়াপার | উন্নত মানের শিশু সুরক্ষা | লিকেজ মুক্ত ডায়াপার।
