napa | ওষুধ | নাপা (প্যারাসিটামল) | জ্বর ও ব্যথায় কার্যকর | দাম ১.২০ টাকা, ভরা পেটে সেব্য।
goodbye | অভিবাদন | বিদায় | চলে যাওয়ার সময় ব্যবহৃত | Goodbye, see you again.
pantix | ওষুধ | প্যানটিক্স (Pantoprazole) | দীর্ঘমেয়াদী গ্যাস্ট্রিকের সমস্যায় | খাওয়ার ৩০ মিনিট আগে সেব্য।
knowledge | ইংরেজি | জ্ঞান | যা শিক্ষার মাধ্যমে অর্জিত হয় | Knowledge is power.
শিক্ষা | বাংলা | Education | জ্ঞান অর্জন প্রক্রিয়া | শিক্ষাই জাতির মেরুদণ্ড।
see you later | অভিবাদন | পরে দেখা হবে | বিদায় নিতে ব্যবহৃত | Okay, see you later!
bizoran | ওষুধ | বিজোরান (Amlodipine) | উচ্চ রক্তচাপ কমাতে | ডাক্তারের পরামর্শে সেব্য।
earth | ইংরেজি | পৃথিবী | মানুষের আবাসস্থল | The earth is round.
পৃথিবী | বাংলা | World | জগত বা ধরণী | পৃথিবী অনেক সুন্দর।
pardon me | অভিবাদন | মার্জনা করবেন | পুনরায় শুনতে চাইলে | Pardon me, what did you say?
monas | ওষুধ | মোনাস (Montelukast) | হাঁপানি ও শ্বাসকষ্টে | রাতে ১টি সেব্য। ১৫-১৬ টাকা পিস।
life | ইংরেজি | জীবন | জন্মের পর থেকে মৃত্যু পর্যন্ত | Life is a journey.
সুখ | বাংলা | Happiness | আনন্দ বা তৃপ্তি | মানুষের সুখ মনের ব্যাপার।
bless you | অভিবাদন | তোমার মঙ্গল হোক | হাঁচি দিলে বা দোয়া করতে | God bless you, my son.
zithrin | ওষুধ | জিথ্রিন (Azithromycin) | অ্যান্টিবায়োটিক বা ইনফেকশনে | ৩ থেকে ৫ দিন সেব্য। ৩৫ টাকা পিস।
home | ইংরেজি | বাড়ি | আশ্রয়ের ঠিকানা | There is no place like home.
শান্তি | বাংলা | Peace | স্বস্তি বা আমেজ | আমরা শান্তিতে বাস করতে চাই।
take care | অভিবাদন | নিজের যত্ন নিও | বিদায়ের সময় শুভকামনা | Bye, take care!
torenta | ওষুধ | টোরেন্টা | স্নায়বিক ব্যথা বা টেনশনে | রাতে ১টি সেব্য। ৫ টাকা পিস।
money | ইংরেজি | টাকা | বিনিময়ের মাধ্যম | Money cannot buy happiness.
টাকা | বাংলা | Money | অর্থ বা কড়ি | সে টাকা জমাতে পছন্দ করে।
happy birthday | অভিবাদন | শুভ জন্মদিন | জন্মদিনের শুভেচ্ছা | Happy birthday to you!
deslor | ওষুধ | ডেসলর | নাক দিয়ে পানি পড়া ও সর্দিতে | প্রতিদিন ১টি। ৭ টাকা পিস।
health | ইংরেজি | স্বাস্থ্য | শরীরের অবস্থা | Health is wealth.
শরীর | বাংলা | Body | দেহ বা তনু | নিয়মিত ব্যায়াম শরীর ভালো রাখে।
cheers | অভিবাদন | আনন্দ হোক | আনন্দ বা পানীয় পানের সময় | Cheers to our friendship!
adryl | ওষুধ | অ্যাড্রিল (Diphenhydramine) | শুকনো কাশি ও ঘুমের জন্য | ২ চামচ করে রাতে সেব্য।
dream | ইংরেজি | স্বপ্ন | ঘুমের মধ্যে যা দেখা হয় | I have a big dream.
স্বপ্ন | বাংলা | Dream | কল্পনা বা নিশিথ চিন্তা | সে বড় হওয়ার স্বপ্ন দেখে।
get well soon | অভিবাদন | দ্রুত সুস্থ হয়ে ওঠো | অসুস্থদের জন্য শুভকামনা | I hope you get well soon!
ebastin | ওষুধ | এবাস্টিন | সিজনাল অ্যালার্জিতে | প্রতিদিন রাতে ১টি। ১০ টাকা পিস।
work | ইংরেজি | কাজ | শ্রমের মাধ্যমে কিছু করা | Hard work leads to success.
কাজ | বাংলা | Work | কর্ম বা পেশা | কাজই মানুষের পরিচয়।
don't worry | অভিবাদন | চিন্তা করো না | সান্ত্বনা দিতে ব্যবহৃত | Don't worry, everything will be fine.
neobion | ওষুধ | নিওবিয়ন | ভিটামিন বি১, বি৬, বি১২ এর অভাব | দৈনিক ১-২টি। ৫ টাকা পিস।
smile | ইংরেজি | হাসি | আনন্দের প্রকাশ | Keep a smile on your face.
হাসি | বাংলা | Smile | হাস্য বা মুচকি হাসি | তার মিষ্টি হাসি আমার প্রিয়।
have a nice day | অভিবাদন | দিনটি তোমার ভালো কাটুক | শুভকামনা জানাতে | Have a nice day, sir!
atova | ওষুধ | অ্যাটোভা (Atorvastatin) | রক্তে কোলেস্টেরল কমাতে | রাতে খাবারের পর ১টি। ১০-১২ টাকা পিস।
joytrip | ওষুধ | জয়ট্রিপ (Hyoscine) | ভ্রমণে বমি ভাব দূর করতে | যাত্রা শুরুর ৩০ মিনিট আগে। ৫ টাকা পিস।
cinkit | ওষুধ | সিঙ্কিট (Zinc Sulfate) | শিশুদের পাতলা পায়খানা ও রুচি বৃদ্ধিতে | ১০ দিন নিয়মিত খাওয়াতে হয়।
nizoder | ওষুধ | নিজোডার (Ketoconazole) | মাথায় খুশকি ও চর্মরোগে | সপ্তাহে ২ দিন আক্রান্ত স্থানে ব্যবহার্য।
tofen | ওষুধ | টোফেন (Ketotifen) | শ্বাসকষ্ট ও দীর্ঘস্থায়ী কাশিতে | রাতে ১টি ট্যাবলেট। ৩ টাকা পিস।
calbo d | ওষুধ | ক্যালবো ডি | ক্যালসিয়াম ও ভিটামিন ডি এর অভাব | প্রতিদিন ১টি ভরা পেটে। ৭-৮ টাকা পিস।
pulisin | ওষুধ | পুলিসিন (Bacitracin) | কাটাছেঁড়া ও ক্ষতে ইনফেকশন রোধে | আক্রান্ত স্থানে দিনে ২-৩ বার লাগাতে হয়।
viodin | ওষুধ | ভায়োডিন (Povidone Iodine) | গলার ইনফেকশন ও মাড়ির ব্যথায় | কুসুম গরম পানিতে মিশিয়ে গড়গড়া করুন।
revert | ওষুধ | রিভার্ট (Domperidone) | পেট ফাঁপা ও বমি বমি ভাব | খাবারের ১৫-২০ মিনিট আগে।
neuro-b | ওষুধ | নিউরো-বি | স্নায়ুর শক্তি ও ভিটামিনের অভাব | দৈনিক ১-২টি ট্যাবলেট। ৬ টাকা পিস।
ocean | ইংরেজি | সমুদ্র | লোনা পানির বিশাল আধার | The ocean is very deep.
mountain | ইংরেজি | পর্বত | পৃথিবীর উঁচু ভূমি | Mount Everest is the highest mountain.
river | ইংরেজি | নদী | প্রবহমান পানির ধারা | The Padma is a big river.
forest | ইংরেজি | বন | অনেক গাছের সমারোহ | The Sundarbans is a famous forest.
animal | ইংরেজি | প্রাণী | যাদের প্রাণ আছে | Tiger is a wild animal.
bird | ইংরেজি | পাখি | আকাশে উড়ন্ত প্রাণী | Peacock is a beautiful bird.
fish | ইংরেজি | মাছ | পানিতে বসবাসকারী প্রাণী | Hilsa is our national fish.
insect | ইংরেজি | পতঙ্গ | ছোট সন্ধিপদ প্রাণী | Butterfly is a colorful insect.
fruit | ইংরেজি | ফল | গাছের মিষ্টি অংশ | Mango is the king of fruits.
flower | ইংরেজি | ফুল | গাছের সুন্দর অংশ | I love the smell of flowers.
vegetable | ইংরেজি | সবজি | রান্নার উপযোগী উদ্ভিদ | We should eat green vegetables.
language | ইংরেজি | ভাষা | মনের ভাব প্রকাশের মাধ্যম | Bengali is our mother tongue.
country | ইংরেজি | দেশ | স্বাধীন ভূখণ্ড | Bangladesh is a beautiful country.
village | ইংরেজি | গ্রাম | পল্লী অঞ্চল | I was born in a small village.
city | ইংরেজি | শহর | উন্নত জনপদ | Dhaka is a busy city.
family | ইংরেজি | পরিবার | আপনজনদের সমাহার | I love my family very much.
student | ইংরেজি | ছাত্র | যারা পড়াশোনা করে | He is a brilliant student.
teacher | ইংরেজি | শিক্ষক | যারা শিক্ষা প্রদান করেন | Respect your teachers.
doctor | ইংরেজি | ডাক্তার | যারা চিকিৎসা করেন | A doctor saves lives.
nurse | ইংরেজি | সেবিকা | রোগীদের সেবা করেন | The nurse is very kind.
সাহস | বাংলা | Courage | নির্ভীকতা বা বল | বিপদকালে সাহস হারানো উচিত নয়।
স্বপ্ন | বাংলা | Dream | কল্পনা বা নিশিথ চিন্তা | আকাশ ছোঁয়ার স্বপ্ন দেখো।
গল্প | বাংলা | Story | কাহিনী বা কথা | দাদি আমাদের গল্প শোনান।
সময় | বাংলা | Time | কাল বা মুহূর্ত | সময়ের সদ্ব্যবহার করা উচিত।
ইতিহাস | বাংলা | History | অতীত কাহিনী | বাংলাদেশ সংগ্রামের ইতিহাস জানে।
অহংকার | বাংলা | Pride | দম্ভ বা গর্ব | অহংকার পতনের মূল।
বিজয় | বাংলা | Victory | জয় বা সফলতা | ১৬ই ডিসেম্বর আমাদের বিজয় দিবস।
শহীদ | বাংলা | Martyr | আত্মোৎসর্গকারী | ভাষা শহীদদের আমরা ভুলব না।
সংস্কৃতি | বাংলা | Culture | কৃষ্টি বা আচার | আমাদের সংস্কৃতি অনেক সমৃদ্ধ।
ঐতিহ্য | বাংলা | Tradition | বংশানুক্রমিক প্রথা | পিঠা উৎসব আমাদের ঐতিহ্য।
আবেগ | বাংলা | Emotion | অনুভূতি বা চিত্তক্ষোভ | আবেগের বসে ভুল করো না।
বিবেক | বাংলা | Conscience | ন্যায়-অন্যায় বোধ | বিবেক দিয়ে কাজ করো।
শ্রদ্ধা | বাংলা | Respect | ভক্তি বা সম্মান | বড়দের শ্রদ্ধা করা উচিত।
ধৈর্য | বাংলা | Patience | সহিষ্ণুতা | ধৈর্যের ফল সব সময় মিষ্টি হয়।
পরাজয় | বাংলা | Defeat | হার বা ব্যর্থতা | পরাজয় থেকেই নতুন শিক্ষা পাওয়া যায়।
how much | অভিবাদন | দাম কত? | কেনাকাটার সময় জিজ্ঞাস্য | How much is this pen?
what is your name | অভিবাদন | তোমার নাম কি? | পরিচয় জানতে ব্যবহৃত | Hi, what is your name?
where are you from | অভিবাদন | তোমার বাড়ি কোথায়? | দেশ বা স্থান জানতে | Where are you from?
i don't know | অভিবাদন | আমি জানি না | কোনো তথ্য না জানলে | Sorry, I don't know about it.
can you help me | অভিবাদন | আপনি কি সাহায্য করবেন? | সাহায্যের অনুরোধে | Can you help me, please?
i am fine | অভিবাদন | আমি ভালো আছি | কুশল বিনিময়ের উত্তরে | I am fine, thank you.
sit down | অভিবাদন | বসুন | বসার অনুরোধ জানাতে | Please, sit down here.
come in | অভিবাদন | ভেতরে আসুন | অনুমতি দিতে ব্যবহৃত | You can come in now.
well done | অভিবাদন | সাবাস বা চমৎকার | ভালো কাজের প্রশংসায় | Well done, keep it up!
no problem | অভিবাদন | কোনো সমস্যা নেই | কৃতজ্ঞতার উত্তরে | It's okay, no problem.
see you tomorrow | অভিবাদন | আগামীকাল দেখা হবে | বিদায় বেলায় | Goodbye, see you tomorrow.
i love you | অভিবাদন | আমি তোমাকে ভালোবাসি | ভালোবাসা প্রকাশে | I love you, mom.
happy new year | অভিবাদন | শুভ নববর্ষ | নতুন বছরের শুরুতে | Happy New Year to all!
best of luck | অভিবাদন | শুভকামনা | কোনো কাজে নামার আগে | Best of luck for your exam.
good luck | অভিবাদন | শুভ ভাগ্য | সাফল্যের কামনায় | Good luck with your new job.
solas | ওষুধ | সোলাস (Albendazole) | কৃমির চিকিৎসায় ব্যবহৃত | রাতে ১টি চিবিয়ে খেতে হয়। ৫-৭ টাকা পিস।
alacot | ওষুধ | অ্যালাকট | চোখের চুলকানি ও লাল ভাব কমাতে | চোখে ১ ফোঁটা করে ৩ বার।
tusca | ওষুধ | টাসকা | কফ বা কাশি উপশমে | দিনে ৩ বার ১-২ চামচ করে।
gastab | ওষুধ | গ্যাসট্যাব | গ্যাসের তাৎক্ষণিক উপশমে | চিবিয়ে খাওয়ার ট্যাবলেট।
anclog | ওষুধ | এনক্লগ (Clopidogrel) | হার্ট অ্যাটাক প্রতিরোধে | চিকিৎসকের পরামর্শে নিয়মিত সেব্য।
verit | ওষুধ | ভেরিট | মাথা ঘোরানো কমাতে | প্রতিদিন ১-২টি ট্যাবলেট।
calcin | ওষুধ | ক্যালসিন | হাড়ের মজবুতি ও ক্যালসিয়ামে | দৈনিক ১টি ভরা পেটে।
modina | ওষুধ | মোডিনা | দীর্ঘস্থায়ী কোষ্ঠকাঠিন্যে | রাতে ১ চামচ পানির সাথে।
nystat | ওষুধ | নাইস্ট্যাট | মুখের ভেতর ছত্রাক বা ঘায়ে | ড্রপার দিয়ে আক্রান্ত স্থানে লাগাতে হয়।
burnsil | ওষুধ | বার্নসিল | পোড়া জায়গায় ব্যবহারের ক্রিম | পাতলা করে ক্ষত স্থানে লাগান।
weather | ইংরেজি | আবহাওয়া | বায়ুমণ্ডলের ক্ষণস্থায়ী অবস্থা | The weather is very hot today.
rain | ইংরেজি | বৃষ্টি | আকাশ থেকে পড়া পানি | I love to walk in the rain.
snow | ইংরেজি | বরফ | জমাট বাঁধা ঠান্ডা পানি | It's snowing in the Himalayas.
wind | ইংরেজি | বাতাস | প্রবহমান বায়ু | Strong wind is blowing.
storm | ইংরেজি | ঝড় | প্রবল বাতাসের ঝাপটা | A big storm is coming.
earthquake | ইংরেজি | ভূমিকম্প | ভূ-পৃষ্ঠের কম্পন | Earthquake causes much damage.
flood | ইংরেজি | বন্যা | প্লাবন বা জলোচ্ছ্বাস | Flood is a natural disaster.
nature | ইংরেজি | প্রকৃতি | সৃষ্টিকর্তার সৃষ্টি | Nature is very beautiful.
mountain | ইংরেজি | পাহাড় | উচুঁ পাথুরে ভূমি | Climbing mountains is risky.
desert | ইংরেজি | মরুভূমি | বালুময় শুষ্ক অঞ্চল | Camel lives in the desert.
শান্তি | বাংলা | Peace | স্বস্তি বা তৃপ্তি | আমরা অশান্তি চাই না।
বন্ধুত্ব | বাংলা | Friendship | সখ্যতা বা মিতালী | আমাদের বন্ধুত্ব চিরদিন থাকবে।
মানবতা | বাংলা | Humanity | মনুষ্যত্ব | আর্তমানবতার সেবায় এগিয়ে আসুন।
বিপদ | বাংলা | Danger | সংকট বা ঝুঁকি | বিপদে মোরে রক্ষা করো।
উপকার | বাংলা | Benefit | সাহায্য বা কল্যাণ | মানুষের উপকার করা মহৎ গুণ।
অপকার | বাংলা | Harm | ক্ষতি বা অনিষ্ট | কারও অপকার করো না।
বিশ্বাস | বাংলা | Faith | আস্থা বা ভক্তি | বিশ্বাস ছাড়া সম্পর্ক টেকে না।
অবিশ্বাস | বাংলা | Distrust | সন্দেহ | তাকে আমি অবিশ্বাস করি না।
ক্ষমা | বাংলা | Forgiveness | মার্জনা | ক্ষমা করা মহৎ কাজ।
ঘৃণা | বাংলা | Hatred | বিরাগ বা অবজ্ঞা | ঘৃণা মানুষের মন নষ্ট করে।
have a seat | অভিবাদন | বসুন | সম্মান প্রদর্শন করে বসতে বলা | Have a seat, please.
take a break | অভিবাদন | একটু বিরতি নিন | কাজের মাঝে বিশ্রাম নিতে | You should take a break now.
don't give up | অভিবাদন | হাল ছেড়ো না | উৎসাহ দিতে ব্যবহৃত | Don't give up, try again.
nice dress | অভিবাদন | সুন্দর পোশাক | পোশাকের প্রশংসায় | That's a very nice dress!
how's everything | অভিবাদন | সব কেমন চলছে? | কুশল জানতে | Hey, how's everything?
i am busy | অভিবাদন | আমি ব্যস্ত আছি | কাজে থাকলে জানাতে | Sorry, I am a bit busy.
call me later | অভিবাদন | পরে ফোন করো | পরে কথা বলতে চাইলে | Please call me later.
it's amazing | অভিবাদন | এটা অসাধারণ | বিস্মিত বা খুশি হলে | Wow, it's amazing!
keep quiet | অভিবাদন | শান্ত থাকো | শব্দ করতে নিষেধ করতে | Please keep quiet in the room.
listen to me | অভিবাদন | আমার কথা শোনো | মনোযোগ আকর্ষণ করতে | Hey, listen to me for a second.
atopa | ওষুধ | অ্যাটোপো (Atorvastatin) | উচ্চ কোলেস্টেরল নিয়ন্ত্রণে | চিকিৎসকের পরামর্শে রাতে ১টি সেব্য। ১০ টাকা পিস।
naproxen | ওষুধ | নেপ্রোক্সেন | হাড়ের জোড়ায় ব্যথা ও প্রদাহে | ভরা পেটে দিনে ২ বার। ১০-১২ টাকা পিস।
peridon | ওষুধ | পেরিডন (Domperidone) | খাবার হজম ও পেট ফাঁপায় | খাবারের ১৫ মিনিট আগে। ৩-৪ টাকা পিস।
deslor | ওষুধ | ডেসলর (Desloratadine) | হাঁচি ও নাকে পানি পড়ায় | প্রতিদিন রাতে ১টি। ৭ টাকা পিস।
xylomet | ওষুধ | জাইলোমেট | বন্ধ নাক খুলতে ড্রপ | প্রতি নাকে ২ ফোঁটা করে ৩ বার। ২০-২৫ টাকা ফাইল।
metformin | ওষুধ | মেটফরমিন | ডায়াবেটিস নিয়ন্ত্রণে | নিয়মিত খাবারের সাথে বা পরে। ৫-৮ টাকা পিস।
clonazepam | ওষুধ | ক্লোনাজেপাম | দুশ্চিন্তা ও ঘুমের সমস্যায় | চিকিৎসকের পরামর্শ ছাড়া নিষিদ্ধ। ৮-১০ টাকা পিস।
zinc | ওষুধ | জিংক ট্যাবলেট | রোগ প্রতিরোধ ক্ষমতা ও রুচি বৃদ্ধিতে | প্রতিদিন ১টি ভরা পেটে। ৫ টাকা পিস।
mupirocin | ওষুধ | মিউপিরোসিন মলম | ত্বকের ইনফেকশন ও ঘা শুকাতে | আক্রান্ত স্থানে দিনে ২-৩ বার। ৮০-১০০ টাকা।
orasol | ওষুধ | ওরাসোল জেল | মুখের ভেতরের ঘা ও ব্যথায় | আক্রান্ত স্থানে অল্প করে লাগিয়ে রাখুন।
keyboard | ইংরেজি | কিবোর্ড | টাইপ করার যন্ত্র | I am typing using a keyboard.
monitor | ইংরেজি | মনিটর | কম্পিউটারের পর্দা | The monitor displays the images.
mouse | ইংরেজি | মাউস | কার্সার নিয়ন্ত্রণের যন্ত্র | Move the mouse to select files.
software | ইংরেজি | সফটওয়্যার | কম্পিউটার প্রোগ্রাম | Windows is an operating system software.
internet | ইংরেজি | ইন্টারনেট | বৈশ্বিক নেটওয়ার্ক | Internet has changed the world.
website | ইংরেজি | ওয়েবসাইট | তথ্যের অনলাইন ভাণ্ডার | Visit our website for more info.
password | ইংরেজি | পাসওয়ার্ড | গোপন সংকেত | Do not share your password with anyone.
email | ইংরেজি | ইমেইল | ইলেকট্রনিক চিঠি | I sent you an email yesterday.
mobile | ইংরেজি | মোবাইল | বহনযোগ্য ফোন | Everyone has a mobile phone now.
camera | ইংরেজি | ক্যামেরা | ছবি তোলার যন্ত্র | I bought a new digital camera.
village | ইংরেজি | পল্লী | গ্রাম অঞ্চল | I love the beauty of my village.
capital | ইংরেজি | রাজধানী | দেশের প্রধান শহর | Dhaka is the capital of Bangladesh.
freedom | ইংরেজি | স্বাধীনতা | মুক্তি বা স্বরাজ | Independence is our pride.
justice | ইংরেজি | ন্যায়বিচার | সুশাসন বা ইনসাফ | Everyone deserves justice.
religion | ইংরেজি | ধর্ম | আধ্যাত্মিক বিশ্বাস | Islam is a religion of peace.
পড়াশোনা | বাংলা | Study | বিদ্যাভ্যাস | ভালো করে পড়াশোনা করো।
সাফল্য | বাংলা | Success | কৃতকার্যতা | কঠোর পরিশ্রম সাফল্যের চাবিকাঠি।
অপেক্ষা | বাংলা | Wait | প্রতীক্ষা | আমি তোমার জন্য অপেক্ষা করছি।
উৎসাহ | বাংলা | Encouragement | উদ্দীপনা | তাকে নতুন কাজে উৎসাহ দিন।
অভিজ্ঞতা | বাংলা | Experience | দকতা বা প্রজ্ঞা | অভিজ্ঞতা মানুষকে জ্ঞানী করে।
পরিষ্কার | বাংলা | Clean | পরিচ্ছন্ন | আমাদের চারপাশ পরিষ্কার রাখা উচিত।
অপরিষ্কার | বাংলা | Dirty | নোংরা | অপরিষ্কার হাতে খাবার খাবে না।
সকাল | বাংলা | Morning | প্রভাত | সকালে হাটা স্বাস্থ্যের জন্য ভালো।
দুপুর | বাংলা | Noon | মধ্যাহ্ন | দুপুরে রোদে বাইরে যেও না।
বিকাল | বাংলা | Afternoon | অপরাহ্ণ | আমরা বিকালে মাঠে খেলি।
সন্ধ্যা | বাংলা | Evening | সায়াহ্ন | সন্ধ্যায় বাতি জ্বালাও।
রাত | বাংলা | Night | নিশিথ | রাতে তাড়াতাড়ি ঘুমানো উচিত।
জন্ম | বাংলা | Birth | আবির্ভাব | আজ আমার ছোট ভাইয়ের জন্ম।
মৃত্যু | বাংলা | Death | ইহলোক ত্যাগ | জন্ম নিলে মৃত্যু অবধারিত।
আশা | বাংলা | Hope | ভরসা বা প্রত্যাশা | নিরাশায়ও আশা রেখো।
what's up | অভিবাদন | কি খবর? | বন্ধুর সাথে কুশল বিনিময়ে | Hey bro, what's up?
long time no see | অভিবাদন | অনেকদিন দেখা নেই | অনেকদিন পর দেখা হলে | Hi, long time no see!
take it easy | অভিবাদন | মাথা ঠান্ডা রাখো | উত্তেজনা কমাতে | Calm down, take it easy.
by the way | অভিবাদন | কথা প্রসঙ্গে | প্রসঙ্গ পাল্টাতে | By the way, where is your home?
of course | অভিবাদন | অবশ্যই | জোরালো সম্মতি জানাতে | Of course, I will help you.
exactly | অভিবাদন | ঠিক তাই | একমত হতে | Exactly! That's what I meant.
not yet | অভিবাদন | এখনো না | কাজ শেষ না হলে | No, I haven't finished it yet.
who knows | অভিবাদন | কে জানে? | অনিশ্চয়তা প্রকাশে | Who knows what will happen?
as soon as possible | অভিবাদন | যত দ্রুত সম্ভব | তাড়া থাকলে | Please send it as soon as possible.
don't mind | অভিবাদন | কিছু মনে করবেন না | বিনীতভাবে কিছু বলতে | Don't mind, can I sit here?
vergon | ওষুধ | ভারগন | কান ঝিঁঝিঁ করা ও মাথা ঘোরাতে | দিনে ২-৩ বার সেব্য।
savlon | ওষুধ | স্যাভলন | জীবাণুনাশক তরল | ক্ষত পরিষ্কার করতে ব্যবহৃত হয়।
neocort | ওষুধ | নিওকোর্ট মলম | চোখের ইনফেকশন ও চুলকানিতে | চিকিৎসকের পরামর্শে চোখে ব্যবহার্য।
c-vit | ওষুধ | সি-ভিট | ভিটামিন সি এর অভাব ও সর্দি রোধে | চিবিয়ে খাওয়ার সুস্বাদু ট্যাবলেট।
glonac | ওষুধ | গ্লোনাক | তীব্র ব্যথানাশক | ভরা পেটে সেবন করতে হয়।
omep | ওষুধ | ওমেপ (Omeprazole) | গ্যাস্ট্রিক প্রতিরোধে | সকালে খালি পেটে ১টি।
fylin | ওষুধ | ফাইলিন | শ্বাসকষ্ট ও কফ দূর করতে | প্রতিদিন নির্দিষ্ট মাত্রায় সেব্য।
bisolvon | ওষুধ | বাইসলভন | কফ পাতলা করে বের করতে | সিরাপ হিসেবে পাওয়া যায়।
anaryl | ওষুধ | অ্যানারিল | ঘুমের সমস্যা ও সর্দি কমাতে | রাতে ১টি ট্যাবলেট সেব্য।
